# spectrum acquired about 2 hrs after the trigger. Magnitude ~ 16/17
# Ang	10^-16 erg/cm^2/s/Angstrom
          3.0319260E+03       0.0000000E+00             
          3.0319502E+03       0.0000000E+00             
          3.0319746E+03       0.0000000E+00             
          3.0319990E+03       0.0000000E+00             
          3.0320232E+03       0.0000000E+00             
          3.0320476E+03       0.0000000E+00             
          3.0320720E+03       0.0000000E+00             
          3.0320962E+03       0.0000000E+00             
          3.0321206E+03       0.0000000E+00             
          3.0321448E+03       0.0000000E+00             
          3.0321692E+03       0.0000000E+00             
          3.0321936E+03       0.0000000E+00             
          3.0322178E+03       0.0000000E+00             
          3.0322422E+03       0.0000000E+00             
          3.0322666E+03       0.0000000E+00             
          3.0322908E+03       0.0000000E+00             
          3.0323152E+03       0.0000000E+00             
          3.0323396E+03       0.0000000E+00             
          3.0323638E+03       0.0000000E+00             
          3.0323882E+03       0.0000000E+00             
          3.0324126E+03       0.0000000E+00             
          3.0324368E+03       0.0000000E+00             
          3.0324612E+03       0.0000000E+00             
          3.0324854E+03       0.0000000E+00             
          3.0325098E+03       0.0000000E+00             
          3.0325342E+03       0.0000000E+00             
          3.0325583E+03       0.0000000E+00             
          3.0325828E+03       0.0000000E+00             
          3.0326072E+03       0.0000000E+00             
          3.0326313E+03       0.0000000E+00             
          3.0326558E+03       0.0000000E+00             
          3.0326802E+03       0.0000000E+00             
          3.0327043E+03       0.0000000E+00             
          3.0327288E+03       0.0000000E+00             
          3.0327532E+03       0.0000000E+00             
          3.0327773E+03       0.0000000E+00             
          3.0328018E+03       0.0000000E+00             
          3.0328259E+03       0.0000000E+00             
          3.0328503E+03       0.0000000E+00             
          3.0328748E+03       0.0000000E+00             
          3.0328989E+03       0.0000000E+00             
          3.0329233E+03       0.0000000E+00             
          3.0329478E+03       0.0000000E+00             
          3.0329719E+03       0.0000000E+00             
          3.0329963E+03       0.0000000E+00             
          3.0330208E+03       0.0000000E+00             
          3.0330449E+03       0.0000000E+00             
          3.0330693E+03       0.0000000E+00             
          3.0330938E+03       0.0000000E+00             
          3.0331179E+03       0.0000000E+00             
          3.0331423E+03       0.0000000E+00             
          3.0331665E+03       0.0000000E+00             
          3.0331909E+03       0.0000000E+00             
          3.0332153E+03       0.0000000E+00             
          3.0332395E+03       0.0000000E+00             
          3.0332639E+03       0.0000000E+00             
          3.0332883E+03       0.0000000E+00             
          3.0333125E+03       0.0000000E+00             
          3.0333369E+03       0.0000000E+00             
          3.0333613E+03       0.0000000E+00             
          3.0333855E+03       0.0000000E+00             
          3.0334099E+03       0.0000000E+00             
          3.0334343E+03       0.0000000E+00             
          3.0334585E+03       0.0000000E+00             
          3.0334829E+03       0.0000000E+00             
          3.0335071E+03       0.0000000E+00             
          3.0335315E+03       0.0000000E+00             
          3.0335559E+03       0.0000000E+00             
          3.0335801E+03       0.0000000E+00             
          3.0336045E+03       0.0000000E+00             
          3.0336289E+03       0.0000000E+00             
          3.0336531E+03       0.0000000E+00             
          3.0336775E+03       0.0000000E+00             
          3.0337019E+03       0.0000000E+00             
          3.0337261E+03       0.0000000E+00             
          3.0337505E+03       0.0000000E+00             
          3.0337749E+03       0.0000000E+00             
          3.0337991E+03       0.0000000E+00             
          3.0338235E+03       0.0000000E+00             
          3.0338477E+03       0.0000000E+00             
          3.0338721E+03       0.0000000E+00             
          3.0338965E+03       0.0000000E+00             
          3.0339207E+03       0.0000000E+00             
          3.0339451E+03       0.0000000E+00             
          3.0339695E+03       0.0000000E+00             
          3.0339937E+03       0.0000000E+00             
          3.0340181E+03       0.0000000E+00             
          3.0340425E+03       0.0000000E+00             
          3.0340667E+03       0.0000000E+00             
          3.0340911E+03       0.0000000E+00             
          3.0341152E+03       0.0000000E+00             
          3.0341396E+03       0.0000000E+00             
          3.0341641E+03       0.0000000E+00             
          3.0341882E+03       0.0000000E+00             
          3.0342126E+03       0.0000000E+00             
          3.0342371E+03       0.0000000E+00             
          3.0342612E+03       0.0000000E+00             
          3.0342856E+03       0.0000000E+00             
          3.0343101E+03       0.0000000E+00             
          3.0343342E+03       0.0000000E+00             
          3.0343586E+03       0.0000000E+00             
          3.0343831E+03       0.0000000E+00             
          3.0344072E+03       0.0000000E+00             
          3.0344316E+03       0.0000000E+00             
          3.0344558E+03       0.0000000E+00             
          3.0344802E+03       0.0000000E+00             
          3.0345046E+03       0.0000000E+00             
          3.0345288E+03       0.0000000E+00             
          3.0345532E+03       0.0000000E+00             
          3.0345776E+03       0.0000000E+00             
          3.0346018E+03       0.0000000E+00             
          3.0346262E+03       0.0000000E+00             
          3.0346506E+03       0.0000000E+00             
          3.0346748E+03       0.0000000E+00             
          3.0346992E+03       0.0000000E+00             
          3.0347236E+03       0.0000000E+00             
          3.0347478E+03       0.0000000E+00             
          3.0347722E+03       0.0000000E+00             
          3.0347964E+03       0.0000000E+00             
          3.0348208E+03       0.0000000E+00             
          3.0348452E+03       0.0000000E+00             
          3.0348694E+03       0.0000000E+00             
          3.0348938E+03       0.0000000E+00             
          3.0349182E+03       0.0000000E+00             
          3.0349424E+03       0.0000000E+00             
          3.0349668E+03       0.0000000E+00             
          3.0349912E+03       0.0000000E+00             
          3.0350154E+03       0.0000000E+00             
          3.0350398E+03       0.0000000E+00             
          3.0350642E+03       0.0000000E+00             
          3.0350884E+03       0.0000000E+00             
          3.0351128E+03       0.0000000E+00             
          3.0351370E+03       0.0000000E+00             
          3.0351614E+03       0.0000000E+00             
          3.0351858E+03       0.0000000E+00             
          3.0352100E+03       0.0000000E+00             
          3.0352344E+03       0.0000000E+00             
          3.0352588E+03       0.0000000E+00             
          3.0352830E+03       0.0000000E+00             
          3.0353074E+03       0.0000000E+00             
          3.0353318E+03       0.0000000E+00             
          3.0353560E+03       0.0000000E+00             
          3.0353804E+03       0.0000000E+00             
          3.0354048E+03       0.0000000E+00             
          3.0354290E+03       0.0000000E+00             
          3.0354534E+03       0.0000000E+00             
          3.0354775E+03       0.0000000E+00             
          3.0355020E+03       0.0000000E+00             
          3.0355264E+03       0.0000000E+00             
          3.0355505E+03       0.0000000E+00             
          3.0355750E+03       0.0000000E+00             
          3.0355994E+03       0.0000000E+00             
          3.0356235E+03       0.0000000E+00             
          3.0356479E+03       0.0000000E+00             
          3.0356724E+03       0.0000000E+00             
          3.0356965E+03       0.0000000E+00             
          3.0357209E+03       0.0000000E+00             
          3.0357454E+03       0.0000000E+00             
          3.0357695E+03       0.0000000E+00             
          3.0357939E+03       0.0000000E+00             
          3.0358181E+03       0.0000000E+00             
          3.0358425E+03       0.0000000E+00             
          3.0358669E+03       0.0000000E+00             
          3.0358911E+03       0.0000000E+00             
          3.0359155E+03       0.0000000E+00             
          3.0359399E+03       0.0000000E+00             
          3.0359641E+03       0.0000000E+00             
          3.0359885E+03       0.0000000E+00             
          3.0360129E+03       0.0000000E+00             
          3.0360371E+03       0.0000000E+00             
          3.0360615E+03       0.0000000E+00             
          3.0360859E+03       0.0000000E+00             
          3.0361101E+03       0.0000000E+00             
          3.0361345E+03       0.0000000E+00             
          3.0361587E+03       0.0000000E+00             
          3.0361831E+03       0.0000000E+00             
          3.0362075E+03       0.0000000E+00             
          3.0362317E+03       0.0000000E+00             
          3.0362561E+03       0.0000000E+00             
          3.0362805E+03       0.0000000E+00             
          3.0363047E+03       0.0000000E+00             
          3.0363291E+03       0.0000000E+00             
          3.0363535E+03       0.0000000E+00             
          3.0363777E+03       0.0000000E+00             
          3.0364021E+03       0.0000000E+00             
          3.0364265E+03       0.0000000E+00             
          3.0364507E+03       0.0000000E+00             
          3.0364751E+03       0.0000000E+00             
          3.0364993E+03       0.0000000E+00             
          3.0365237E+03       0.0000000E+00             
          3.0365481E+03       0.0000000E+00             
          3.0365723E+03       0.0000000E+00             
          3.0365967E+03       0.0000000E+00             
          3.0366211E+03       0.0000000E+00             
          3.0366453E+03       0.0000000E+00             
          3.0366697E+03       0.0000000E+00             
          3.0366941E+03       0.0000000E+00             
          3.0367183E+03       0.0000000E+00             
          3.0367427E+03       0.0000000E+00             
          3.0367671E+03       0.0000000E+00             
          3.0367913E+03       0.0000000E+00             
          3.0368157E+03       0.0000000E+00             
          3.0368398E+03       0.0000000E+00             
          3.0368643E+03       0.0000000E+00             
          3.0368887E+03       0.0000000E+00             
          3.0369128E+03       0.0000000E+00             
          3.0369373E+03       0.0000000E+00             
          3.0369617E+03       0.0000000E+00             
          3.0369858E+03       0.0000000E+00             
          3.0370103E+03       0.0000000E+00             
          3.0370347E+03       0.0000000E+00             
          3.0370588E+03       0.0000000E+00             
